[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 0 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[LDR] Moneta rilevata! Credito=1 EUR (val=59%, base=25%, Δ=+34%)
[STATUS] BLE:OFF | ATTESA_MONETA | € 1 | P1@1EUR | LDR:61%(B:25 Δ: 36) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 1 | P1@1EUR | LDR:28%(B:25 Δ:  3) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[LDR] Reset moneta (val=28%, base=25%, Δ=3%)
[STATUS] BLE:OFF | ATTESA_MONETA | € 1 | P1@1EUR | LDR:46%(B:37 Δ:  9) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 1 | P1@1EUR | LDR:16%(B:36 Δ:-20) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[LDR] Moneta rilevata! Credito=2 EUR (val=63%, base=33%, Δ=+30%)
[LDR] Reset moneta (val=33%, base=33%, Δ=0%)
[STATUS] BLE:OFF | ATTESA_MONETA | € 2 | P1@1EUR | LDR:16%(B:24 Δ: -8) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[LDR] Moneta rilevata! Credito=3 EUR (val=63%, base=27%, Δ=+36%)
[LDR] Reset moneta (val=16%, base=27%, Δ=-11%)
[STATUS] BLE:OFF | ATTESA_MONETA | € 3 | P1@1EUR | LDR:16%(B:27 Δ:-11) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 3 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 3 | P1@1EUR | LDR:16%(B:16 Δ:  0) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[LDR] Moneta rilevata! Credito=4 EUR (val=57%, base=24%, Δ=+33%)
[STATUS] BLE:OFF | ATTESA_MONETA | € 4 | P1@1EUR | LDR:60%(B:24 Δ: 36) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 4 | P1@1EUR | LDR:61%(B:24 Δ: 37) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 4 | P1@1EUR | LDR:60%(B:24 Δ: 36) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
[STATUS] BLE:OFF | ATTESA_MONETA | € 4 | P1@1EUR | LDR:61%(B:24 Δ: 37) | DIST:  6cm | T:21°C H:41% | A5 S5 C5 T5
